time,open,high,low,close,volume
2023-08-25 17:00:00,1643.99000000,1647.50000000,1641.05000000,1642.40000000,4728.45240000
2023-08-25 17:30:00,1642.40000000,1643.45000000,1635.51000000,1642.59000000,10918.98680000
2023-08-25 18:00:00,1642.58000000,1648.51000000,1640.97000000,1647.83000000,4705.51110000
2023-08-25 18:30:00,1647.84000000,1655.65000000,1647.26000000,1654.11000000,4508.22400000
2023-08-25 19:00:00,1654.10000000,1655.49000000,1649.25000000,1650.07000000,5121.09500000
2023-08-25 19:30:00,1650.08000000,1650.37000000,1643.99000000,1647.01000000,3440.87860000
2023-08-25 20:00:00,1647.00000000,1649.60000000,1645.81000000,1647.49000000,2469.91940000
2023-08-25 20:30:00,1647.50000000,1651.19000000,1645.82000000,1650.19000000,2472.73880000
2023-08-25 21:00:00,1650.19000000,1651.40000000,1647.93000000,1649.51000000,2438.74690000
2023-08-25 21:30:00,1649.51000000,1653.49000000,1647.42000000,1651.40000000,4506.62760000
2023-08-25 22:00:00,1651.40000000,1653.17000000,1648.71000000,1649.56000000,3001.30170000
2023-08-25 22:30:00,1649.56000000,1654.15000000,1649.00000000,1653.96000000,2602.95540000
2023-08-25 23:00:00,1653.96000000,1655.00000000,1652.83000000,1654.16000000,2571.00590000
2023-08-25 23:30:00,1654.16000000,1654.95000000,1652.70000000,1653.80000000,1973.89190000
2023-08-26 00:00:00,1653.79000000,1653.93000000,1652.38000000,1653.01000000,1073.19840000
2023-08-26 00:30:00,1653.00000000,1653.50000000,1651.63000000,1652.08000000,1127.28120000
2023-08-26 01:00:00,1652.07000000,1654.95000000,1651.62000000,1653.96000000,3060.52050000
2023-08-26 01:30:00,1653.95000000,1653.96000000,1651.72000000,1651.73000000,1116.20470000
2023-08-26 02:00:00,1651.73000000,1655.17000000,1651.72000000,1652.01000000,1296.16700000
2023-08-26 02:30:00,1652.00000000,1654.50000000,1651.99000000,1654.37000000,1502.56070000
2023-08-26 03:00:00,1654.37000000,1655.50000000,1653.60000000,1655.49000000,1595.98680000
2023-08-26 03:30:00,1655.50000000,1655.59000000,1653.28000000,1654.62000000,1612.08900000
2023-08-26 04:00:00,1654.61000000,1654.77000000,1652.23000000,1652.37000000,1335.74680000
2023-08-26 04:30:00,1652.37000000,1652.93000000,1652.32000000,1652.92000000,680.13550000
2023-08-26 05:00:00,1652.93000000,1653.17000000,1651.72000000,1651.84000000,699.60180000
2023-08-26 05:30:00,1651.84000000,1652.40000000,1651.32000000,1652.28000000,1287.89440000
2023-08-26 06:00:00,1652.27000000,1652.59000000,1650.83000000,1652.58000000,1601.86280000
2023-08-26 06:30:00,1652.58000000,1653.77000000,1652.12000000,1653.69000000,774.14150000
2023-08-26 07:00:00,1653.68000000,1654.15000000,1653.02000000,1653.37000000,798.93970000
2023-08-26 07:30:00,1653.37000000,1653.50000000,1652.81000000,1652.83000000,1139.98590000
2023-08-26 08:00:00,1652.82000000,1654.01000000,1651.60000000,1654.01000000,1711.50750000
2023-08-26 08:30:00,1654.01000000,1654.01000000,1646.66000000,1650.41000000,11457.60580000
2023-08-26 09:00:00,1650.41000000,1650.41000000,1647.53000000,1647.72000000,2099.08210000
